Taken,Rank,Name,Position,ProjectPointsAverage,ProjectedVBDAverage,PointsAverage,VBDAverage,BestPointsYear,BestVBDYear,Points_2016,VBD_2016,Team_2016,Points_2015,VBD_2015,Team_2015,Points_2014,VBD_2014,Team_2014,Points_2013,VBD_2013,Team_2013 
,1,Antonio Brown,WR,249.440,122.443,245.500,122.200,2014 PIT,2014 PIT,258.42,125.270,Pit,250,126,PIT,252,129,PIT,199,79,PIT
,6,Devonta Freeman,RB,179.455,67.556,162.900,72.000,2015 ATL,2015 ATL,205.25,57.780,Atl,243,120,ATL,57,,ATL,,,
,2,Julio Jones,WR,212.401,89.484,207.000,88.800,2015 ATL,2015 ATL,226.16,93.010,Atl,237,113,ATL,193,70,ATL,69,,ATL
,4,Adrian Peterson,RB,193.533,78.774,161.700,71.900,2015 MIN,2015 MIN,231.56,84.090,Min,231,107,MIN,9,,MIN,204,77,MIN
,8,Cam Newton,QB,345.625,65.542,339.100,67.300,2015 CAR,2015 CAR,350.96,58.690,Car,391,106,CAR,249,,CAR,298,37,CAR
,7,Brandon Marshall,WR,191.886,65.689,194.000,72.200,2015 NYJ,2015 NYJ,181.91,48.760,NYJ,230,106,NYJ,118,,CHI,206,86,CHI
,12,Allen Robinson,WR,163.234,54.477,155.100,60.000,2015 JAX,2015 JAX,176.51,43.360,Jax,224,100,JAX,69,,JAX,,,
,3,Odell Beckham,WR,197.750,80.353,195.000,83.700,2015 NYG,2015 NYG,211.50,78.350,NYG,223,99,NYG,204,81,NYG,,,
,5,Rob Gronkowski,TE,171.341,78.625,173.900,85.800,2015 NWE,2015 NWE,171.95,71.330,NE,184,96,NWE,184,94,NWE,83,,NWE
,9,DeAndre Hopkins,WR,188.796,64.199,187.500,67.200,2015 HOU,2015 HOU,192.62,59.470,Hou,220,96,HOU,155,32,HOU,90,,HOU
,19,Doug Martin,RB,163.336,45.197,145.400,45.600,2015 TAM,2015 TAM,190.41,42.940,TB,199,76,TAM,68,,TAM,56,,TAM
,36,Gary Barnidge,TE,106.700,30.845,102.100,42.600,2015 CLE,2015 CLE,110.79,10.170,Cle,158,71,CLE,16,,CLE,25,,CLE
