1,David Johnson*+\JohnDa08,ARI,RB,25,16,16,0,0,0,0,0,293,1239,4.23,16,120,80,879,10.99,4,328,416.8,367.8,196,1,1
2,Ezekiel Elliott*+\ElliEz00,DAL,RB,21,15,15,0,0,0,0,0,322,1631,5.07,15,39,32,363,11.34,1,293,332.4,309.4,162,2,2
3,LeSean McCoy*\McCoLe01,BUF,RB,28,15,15,0,0,0,0,0,234,1267,5.41,13,57,50,356,7.12,1,248,304.3,273.3,117,3,3
4,Aaron Rodgers*\RodgAa00,GNB,QB,33,16,16,401,610,4428,40,7,67,369,5.51,4,0,0,0,,0,382,397.0,387.0,114,1,4
5,DeMarco Murray*\MurrDe00,TEN,RB,28,16,16,1,2,10,1,0,293,1287,4.39,9,67,53,377,7.11,3,243,300.8,267.3,111,4,5
6,Le'Veon Bell*\BellLe00,PIT,RB,24,12,12,0,1,0,0,0,261,1268,4.86,7,94,75,616,8.21,2,242,324.4,279.9,111,5,6
7,Devonta Freeman*\FreeDe00,ATL,RB,24,16,16,0,0,0,0,0,227,1079,4.75,11,65,54,462,8.56,2,232,291.1,257.1,101,6,7
8,LeGarrette Blount\BlouLe00,NWE,RB,30,16,8,0,0,0,0,0,299,1161,3.88,18,8,7,38,5.43,0,226,236.9,229.4,94,7,8
9,Matt Ryan*+\RyanMa00,ATL,QB,31,16,16,373,534,4944,38,7,35,117,3.34,0,0,0,0,,0,355,362.5,354.5,88,2,9
10,Mike Evans*\EvanMi00,TAM,WR,23,16,16,0,0,0,0,0,0,0,,0,173,96,1321,13.76,12,208,307.1,256.1,82,1,10
11,Jordy Nelson\NelsJo00,GNB,WR,31,16,16,0,0,0,0,0,0,0,,0,152,97,1257,12.96,14,208,308.7,256.2,82,2,11
12,Antonio Brown*+\BrowAn04,PIT,WR,28,15,15,0,0,0,0,0,3,9,3.00,0,154,106,1284,12.11,12,207,310.3,254.3,81,3,12
13,Melvin Gordon*\GordMe00,SDG,RB,23,13,11,0,0,0,0,0,254,997,3.93,10,57,41,419,10.22,2,210,258.6,230.1,78,8,13
14,Jordan Howard*\HowaJo00,CHI,RB,22,15,13,0,0,0,0,0,252,1313,5.21,6,50,29,298,10.28,1,201,237.1,215.6,70,9,14
15,Odell Beckham*\BeckOd00,NYG,WR,24,16,16,0,0,0,0,0,1,9,9.00,0,169,101,1367,13.53,10,196,300.6,246.1,69,4,15
16,Drew Brees*\BreeDr00,NOR,QB,37,16,16,471,673,5208,37,15,23,20,0.87,2,0,0,0,,0,336,354.3,347.3,68,3,16
17,Mark Ingram\IngrMa01,NOR,RB,27,16,14,0,0,0,0,0,205,1043,5.09,6,58,46,319,6.93,4,198,250.2,219.2,67,10,17
18,T.Y. Hilton*\HiltT.00,IND,WR,27,16,16,0,0,0,0,0,0,0,,0,155,91,1448,15.91,6,185,276.8,228.3,59,5,18
19,Jay Ajayi*\AjayJa00,MIA,RB,23,15,12,0,0,0,0,0,260,1272,4.89,8,35,27,151,5.59,0,188,222.3,201.8,57,11,19
20,Julio Jones*+\JoneJu02,ATL,WR,27,14,14,0,0,0,0,0,0,0,,0,129,83,1409,16.98,6,179,262.9,218.4,53,6,20
21,Travis Kelce*+\KelcTr00,KAN,TE,27,16,15,0,0,0,0,0,1,-5,-5.00,0,117,85,1125,13.24,4,138,226.0,180.5,49,1,21
22,Davante Adams\AdamDa01,GNB,WR,24,16,15,0,0,0,0,0,0,0,,0,121,75,997,13.29,12,174,250.7,209.2,48,7,22
23,Frank Gore\GoreFr00,IND,RB,33,16,16,0,0,0,0,0,263,1025,3.90,4,47,38,277,7.29,4,176,221.2,195.2,45,12,23
24,Latavius Murray\MurrLa00,OAK,RB,26,14,12,0,0,0,0,0,195,788,4.04,12,43,33,264,8.00,0,175,215.2,191.7,44,13,24
25,Brandin Cooks\CookBr00,NOR,WR,23,16,12,0,0,0,0,0,6,30,5.00,0,117,78,1173,15.04,8,168,249.3,207.3,42,8,25
26,Greg Olsen*\OlseGr00,CAR,TE,31,16,16,0,0,0,0,0,0,0,,0,129,80,1073,13.41,3,131,210.3,167.3,42,2,26
27,Andrew Luck\LuckAn00,IND,QB,27,15,15,346,545,4240,31,13,64,341,5.33,2,0,0,0,,0,310,331.7,320.7,42,4,27
28,Kyle Rudolph\RudoKy00,MIN,TE,27,16,16,0,0,0,0,0,0,0,,0,132,83,840,10.12,7,128,212.0,167.5,39,3,28
29,Kirk Cousins*\CousKi00,WAS,QB,28,16,16,406,606,4917,25,12,34,96,2.82,4,0,0,0,,0,306,318.3,312.3,38,5,29
30,Michael Thomas\ThomMi05,NOR,WR,23,15,12,0,0,0,0,0,0,0,,0,121,92,1137,12.36,9,164,260.7,209.7,38,9,30
31,Doug Baldwin*\BaldDo00,SEA,WR,28,16,15,1,1,15,1,0,3,2,0.67,0,125,94,1128,12.00,7,162,256.6,206.6,35,10,31
32,Jimmy Graham*\GrahJi00,SEA,TE,30,16,15,0,0,0,0,0,1,0,0.00,0,95,65,923,14.20,6,124,194.3,156.8,35,4,32
33,Delanie Walker*\WalkHu00,TEN,TE,32,15,10,0,0,0,0,0,2,11,5.50,0,102,65,800,12.31,7,123,191.1,155.6,34,5,33
34,Isaiah Crowell\CrowIs00,CLE,RB,23,16,16,0,0,0,0,0,198,952,4.81,7,53,40,319,7.98,0,165,213.1,185.1,34,14,34
35,Carlos Hyde\HydeCa00,SFO,RB,26,13,13,0,0,0,0,0,217,988,4.55,6,33,27,163,6.04,3,165,201.1,178.6,34,15,35
36,Spencer Ware\WareSp00,KAN,RB,25,14,14,0,0,0,0,0,214,921,4.30,3,42,33,447,13.55,2,161,202.8,177.3,29,16,36
37,Lamar Miller\MillLa01,HOU,RB,25,14,14,0,0,0,0,0,268,1073,4.00,5,39,31,188,6.06,1,160,198.1,175.6,29,17,37
38,Tevin Coleman\ColeTe01,ATL,RB,23,13,0,0,0,0,0,0,118,520,4.41,8,40,31,421,13.58,3,160,197.1,175.6,29,18,38
39,Michael Crabtree\CrabMi00,OAK,WR,29,16,16,0,0,0,0,0,0,0,,0,145,89,1003,11.27,8,152,242.3,194.8,26,11,39
40,Amari Cooper*\CoopAm00,OAK,WR,22,16,14,0,0,0,0,0,1,0,0.00,0,132,83,1153,13.89,5,151,235.3,190.8,25,12,40
41,Dak Prescott*\PresDa01,DAL,QB,23,16,16,311,459,3667,23,4,57,282,4.95,6,0,0,0,,0,293,300.9,290.9,25,6,41
42,Cameron Brate\BratCa00,TAM,TE,25,15,10,0,0,0,0,0,0,0,,0,81,57,660,11.58,8,114,174.0,142.5,25,6,42
43,Martellus Bennett\BennMa00,NWE,TE,29,16,12,0,0,0,0,0,2,10,5.00,0,73,55,701,12.75,7,113,171.1,140.6,24,7,43
44,Jeremy Hill\HillJe01,CIN,RB,24,15,13,0,0,0,0,0,222,839,3.78,9,27,21,174,8.29,0,155,182.3,165.8,24,19,44
45,Todd Gurley\GurlTo01,LAR,RB,22,16,16,0,0,0,0,0,278,885,3.18,6,58,43,327,7.60,0,155,205.2,176.7,24,20,45
46,Rishard Matthews\MattRi00,TEN,WR,27,16,10,0,0,0,0,0,0,0,,0,108,65,945,14.54,9,149,215.5,179.0,22,13,46
47,Matt Forte\FortMa00,NYJ,RB,31,14,13,0,0,0,0,0,218,813,3.73,7,43,30,263,8.77,1,154,190.6,168.6,22,21,47
48,Tyrell Williams\WillTy00,SDG,WR,24,16,12,0,0,0,0,0,0,0,,0,119,69,1059,15.35,7,148,219.9,182.4,22,14,48
49,Zach Ertz\ErtzZa00,PHI,TE,26,14,12,0,0,0,0,0,0,0,,0,106,78,816,10.46,4,106,186.6,144.6,16,8,49
50,Jordan Reed*\ReedJo02,WAS,TE,26,12,8,0,0,0,0,0,0,0,,0,89,66,686,10.39,6,105,172.6,135.6,15,9,50
51,Matthew Stafford\StafMa00,DET,QB,28,16,16,388,594,4327,24,10,37,207,5.59,2,1,0,0,,0,282,297.8,289.8,14,7,51
52,Bilal Powell\PoweBi00,NYJ,WR,28,16,4,0,0,0,0,0,131,722,5.51,3,74,58,388,6.69,2,139,204.0,168.0,13,15,52
53,Terrelle Pryor\PryoTe00,CLE,WR,27,16,15,5,9,41,0,0,8,21,2.63,1,140,77,1007,13.08,4,138,216.4,174.9,12,16,53
54,Tyreek Hill*+\HillTy00,KAN,WR,22,16,1,0,0,0,0,0,24,267,11.13,3,83,61,593,9.72,6,138,224.0,186.5,12,17,54
55,Jarvis Landry*\LandJa00,MIA,WR,24,16,16,0,1,0,0,0,5,17,3.40,0,131,94,1136,12.09,4,137,236.3,184.3,11,18,55
56,Larry Fitzgerald*\FitzLa00,ARI,WR,33,16,16,0,1,0,0,0,2,5,2.50,0,150,107,1023,9.56,6,137,247.8,190.3,11,19,56
57,Demaryius Thomas*\ThomDe03,DEN,WR,29,16,16,0,0,0,0,0,0,0,,0,144,90,1083,12.03,5,136,231.3,181.3,10,20,57
58,Kelvin Benjamin\BenjKe00,CAR,WR,25,16,13,0,0,0,0,0,0,0,,0,118,63,941,14.94,7,134,201.1,165.6,8,21,58
