Cam Newton Car,QB,Thu 7:30 pm @ Den,EanTop/WillisBottom,16.0,7,350.96,100%,1,,3815,27.3,11.3,119,620,5.8,0.0,0.0,0.0,0.0,0.0,0.9,4.8 
Aaron Rodgers GB,QB,Sun 12:00 pm @ Jax,TexasSucks,16.0,4,319.58,100%,2,,4388,29.4,10.1,47.5,224,1.9,0.0,0.0,0.0,0.0,0.0,0.8,4.1 
Andrew Luck Ind,QB,Sun 3:25 pm vs Det,Chaz's Crazy Team,16.0,10,318.87,100%,3,,4236,31.6,17.1,57.2,279,1.5,0.0,0.0,0.0,0.0,0.0,0.9,4.4 
Drew Brees NO,QB,Sun 12:00 pm vs Oak,Angry Handies,16.0,5,317.71,100%,4,,4833,31.8,14.0,21.6,30.9,0.7,0.0,0.0,0.0,0.0,0.0,0.9,5.3 
Russell Wilson Sea,QB,Sun 3:05 pm vs Mia,Mariota Kart,16.0,5,317.27,100%,5,,3849,27.0,10.1,87.1,431,3.2,0.0,0.0,0.0,0.0,0.0,0.8,4.2 
Ben Roethlisberger Pit,QB,Mon 6:10 pm @ Was,A Little Willly Pete,16.0,8,312.13,100%,6,,4717,30.3,13.9,26.4,64.3,1.1,0.0,0.0,0.0,0.0,0.0,0.8,4.0 
Eli Manning NYG,QB,Sun 3:25 pm @ Dal,Le'Veon a Prayer,16.0,8,302.76,97%,7,,4632,30.1,13.6,16.5,46.2,0.5,0.0,0.0,0.0,0.0,0.0,0.8,4.3 
Andy Dalton Cin,QB,Sun 12:00 pm @ NYJ,Angry Handies,16.0,9,296.61,87%,8,,4047,28.1,10.4,54.3,192,1.7,0.0,0.0,0.0,0.0,0.0,0.8,4.0 
Carson Palmer Ari,QB,Sun 7:30 pm vs NE,Björk'sPlatnumAlbum,16.0,9,295.71,99%,9,,4456,29.8,12.9,26.6,26.2,0.9,0.0,0.0,0.0,0.0,0.0,0.8,4.3 
Matthew Stafford Det,QB,Sun 3:25 pm @ Ind,FA,16.0,10,295.04,79%,10,,4362,27.7,12.6,32.8,134,1.0,0.0,0.0,0.0,0.0,0.0,0.8,4.2 
Blake Bortles Jax,QB,Sun 12:00 pm vs GB,T.M.N. Bortles,16.0,5,294.50,96%,11,,4010,28.1,15.0,48.7,228,1.8,0.0,0.0,0.0,0.0,0.0,0.8,3.9 
Kirk Cousins Was,QB,Mon 6:10 pm vs Pit,FA,16.0,9,292.27,90%,12,,4474,27.8,12.7,34.2,71.3,0.8,0.0,0.0,0.0,0.0,0.0,0.8,4.3 
Philip Rivers SD,QB,Sun 12:00 pm @ KC,SlobOnMyCobb,16.0,11,292.13,95%,13,,4577,28.9,13.9,12.5,24.7,0.3,0.0,0.0,0.0,0.0,0.0,0.8,4.7 
Derek Carr Oak,QB,Sun 12:00 pm @ NO,EanTop/WillisBottom,16.0,10,287.70,88%,14,,4054,29.7,14.1,30.1,122,0.9,0.0,0.0,0.0,0.0,0.0,0.8,4.6 
Ryan Fitzpatrick NYJ,QB,Sun 12:00 pm vs Cin,FA,16.0,11,280.61,38%,15,,4003,26.1,15.2,44.5,183,1.7,0.0,0.0,0.0,0.0,0.0,0.7,4.2 
Jameis Winston TB,QB,Sun 12:00 pm @ Atl,Björk'sPlatnumAlbum,16.0,6,279.12,82%,16,,3997,24.5,14.1,54.2,217,1.7,0.0,0.0,0.0,0.0,0.0,0.7,4.3 
Tyrod Taylor Buf,QB,Sun 12:00 pm @ Bal,A Little Willly Pete,16.0,10,278.51,85%,17,,3337,19.8,11.2,102,498,4.1,0.0,0.0,0.0,0.0,0.0,0.6,3.9 
Marcus Mariota Ten,QB,Sun 12:00 pm vs Min,ChrisCartersFallGuys,16.0,13,274.96,74%,18,,3800,21.2,14.3,67.2,378,2.0,0.0,0.0,0.0,0.0,0.0,0.6,4.0 
Matt Ryan Atl,QB,Sun 12:00 pm vs TB,T.M.N. Bortles,16.0,11,273.09,66%,19,,4579,22.1,15.9,31.0,82.7,1.0,0.0,0.0,0.0,0.0,0.0,0.6,5.2 
Ryan Tannehill Mia,QB,Sun 3:05 pm @ Sea,Chaz's Crazy Team,16.0,8,272.17,36%,20,,4058,24.3,13.3,38.8,157,1.3,0.0,0.0,0.0,0.0,0.0,0.7,4.3 
Brock Osweiler Hou,QB,Sun 12:00 pm vs Chi,FA,16.0,9,269.83,27%,21,,3964,24.1,11.7,51.5,134,1.8,0.0,0.0,0.0,0.0,0.0,0.7,4.1 
Jay Cutler Chi,QB,Sun 12:00 pm @ Hou,SlobOnMyCobb,16.0,9,264.80,18%,22,,4022,22.3,11.6,35.1,160,1.3,0.0,0.0,0.0,0.0,0.0,0.6,3.9 
Alex Smith KC,QB,Sun 12:00 pm vs SD,FA,16.0,5,262.61,20%,23,,3535,18.7,9.6,73.8,395,2.3,0.0,0.0,0.0,0.0,0.0,0.6,4.3 
Antonio Brown Pit,WR,Mon 6:10 pm @ Was,Angry Handies,16.0,8,258.42,100%,24,,0.0,0.0,0.0,3.9,22.3,0.1,189,133,1860,11.1,0.4,0.3,0.8 
Joe Flacco Bal,QB,Sun 12:00 pm vs Buf,FA,16.0,8,257.88,17%,25,,4173,24.8,17.1,18.0,32.5,0.5,0.0,0.0,0.0,0.0,0.0,0.7,4.4 
Robert Griffin III Cle,QB,Sun 12:00 pm @ Phi,FA,16.0,13,245.45,26%,26,,3200,18.7,9.7,66.8,363,2.3,0.0,0.0,0.0,0.0,0.0,0.6,3.2 
Tom Brady NE,QB,Sun 7:30 pm @ Ari,All A'Bortles,12.0,9,237.31,98%,27,,3443,24.6,8.5,26.7,37.6,0.6,0.0,0.0,0.0,0.0,0.0,0.7,3.3 
Blaine Gabbert SF,QB,Mon 9:20 pm vs LA,FA,16.0,8,233.96,3%,28,,3498,17.3,11.8,52.4,235,1.8,0.0,0.0,0.0,0.0,0.0,0.5,4.2 
Adrian Peterson Min,RB,Sun 12:00 pm @ Ten,SlobOnMyCobb,16.0,6,231.56,100%,31,,0.0,0.0,0.0,313,1428,10.4,30.8,27.6,200,0.8,0.0,0.3,2.3 
