,,,,Projected,Projected,Previous,Previous,2017,,2016,,2015,,2014,
Taken,Rank,Name,Position,Average,VBDAverage,Average,VBDAverage,Points,VBD,Points,VBD,Points,VBD,Points,VBD
,1,Aaron Rodgers,QB,349.05,79.24,356.5,83.6,331.5,65.1,382,114,305,20,358,92
,2,Tom Brady,QB,298.32,28.51,287.8,14.9,320.8,54.4,261,-7,344,59,280,14
,3,Drew Brees,QB,320.27,50.46,323.9,51,311.8,45.4,336,68,306,21,305,39
,4,Matt Ryan,QB,312.36,42.55,312.2,39.3,301.9,35.5,355,87,236,-49,284,18
,5,Russell Wilson,QB,294.24,24.43,298.4,25.5,295.1,28.7,270,2,344,59,332,66
,6,Cam Newton,QB,291.98,22.17,298.2,25.3,292.2,25.8,260,-8,391,106,249,-17
,7,David Johnson,RB,273.86,143.81,249,132.9,291.4,144.4,328,196,174,51,,
,8,Andrew Luck,QB,277.07,7.26,261.5,-11.4,288.3,21.9,310,42,133,-152,356,90
,9,Le'Veon Bell,RB,239.41,103.31,200.1,71.9,287.9,140.9,242,110,87,-36,288,167
,10,Matthew Stafford,QB,282.78,12.97,282.2,9.3,283.7,17.3,282,14,292,7,254,-12
,11,Jameis Winston,QB,257.53,1.02,240.9,-5.4,277.2,10.8,262,-6,279,-6,,
,12,Kirk Cousins,QB,281.01,11.2,280.9,8,274.9,8.5,306,38,295,10,88,-178
,13,Dak Prescott,QB,226.92,13.16,175.8,15,274.3,7.9,293,25,,,,
,14,Marcus Mariota,QB,245.26,-11.25,223.8,-22.5,266.4,0,268,0,210,-75,,
,15,Derek Carr,QB,264.51,-5.3,263.1,-9.8,264.9,-1.5,270,2,273,-12,192,-74
,16,Ben Roethlisberger,QB,260.76,-9.05,260.8,-12.1,259.4,-7,266,-2,234,-51,310,44
,17,Tyrod Taylor,QB,251.37,-5.14,245.1,-1.2,254.3,-12.1,271,3,275,-10,null,
,18,Andy Dalton,QB,253.49,-16.32,252.3,-20.6,253.1,-13.3,261,-7,244,-41,225,-41
,19,Philip Rivers,QB,262.52,-7.29,270.2,-2.7,252.8,-13.6,263,-5,286,1,266,0
,20,Eli Manning,QB,247.62,-22.19,249,-23.9,251.3,-15.1,226,-42,288,3,270,4
,21,Carson Wentz,QB,186.68,-27.08,130.2,-30.6,249.7,-16.7,217,-51,,,,
,22,Carson Palmer,QB,248.05,-21.76,252.7,-20.2,242,-24.4,249,-19,309,24,106,-160
,23,Joe Flacco,QB,230.12,-39.69,222.4,-50.5,236.3,-30.1,244,-24,166,-119,262,-4
,24,Sam Bradford,QB,205.37,-51.14,192.3,-54,217.3,-49.1,223,-45,195,-90,,
,25,Alex Smith,QB,227.63,-42.18,239.9,-33,212.7,-53.7,226,-42,273,-12,224,-42
,26,LeSean McCoy,RB,214.24,78.14,210,81.8,211.1,64.1,248,116,147,24,171,50
,27,Jay Ajayi,RB,164.92,34.87,123.6,7.5,210.8,63.8,188,56,36,-87,,
,28,Jay Cutler,QB,150.34,-119.47,122.8,-150.1,210.6,-55.8,47,-221,230,-55,256,-10
,29,Devonta Freeman,RB,215.3,79.2,217.8,89.6,208,61,232,100,243,120,57,-64
